"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","developers.cardano.org/75.2.60.5","443","INFO","-----BEGIN CERTIFICATE-----\nMIIDuDCCAz6gAwIBAgISBZRJy+msD/+UWoYe2zzh/+MbMAoGCCqGSM49BAMDMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFODAeFw0yNjAxMjYxMzUzNDlaFw0yNjA0MjYxMzUzNDhaMCExHzAdBgNVBAMTFmRldmVsb3BlcnMuY2FyZGFuby5vcmcwWTATBgcqhkjOPQIBBggqhkjOPQMBBwNCAAQzW77czvdicmHp4YOQG25bWC/XkadFXCmMhO27AkezXZiaKUl+u8W/zhRmVRmwvdMrL7TNyzx2jzbU273wlUhTo4ICQzCCAj8wDgYDVR0PAQH/BAQDAgeAMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBQPVI8IFRPjv1KhCGxWycny+j5aBzAfBgNVHSMEGDAWgBSPDROi9i5+0VBsMxg4XVmOI3KRyjAyBggrBgEFBQcBAQQmMCQwIgYIKwYBBQUHMAKGFmh0dHA6Ly9lOC5pLmxlbmNyLm9yZy8wOAYDVR0RBDEwL4IVZGV2ZWxvcGVyLmNhcmRhbm8ub3JnghZkZXZlbG9wZXJzLmNhcmRhbm8ub3JnMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC0GA1UdHwQmMCQwIqAgoB6GHGh0dHA6Ly9lOC5jLmxlbmNyLm9yZy8yOC5jcmwwggEMBgorBgEEAdZ5AgQCBIH9BIH6APgAfgBxfpXzwjiKbbHjhEk9MeFaqWIIdi1CAOAFDNBntaZh4gAAAZv6ypioAAgAAAUAB9l6pgQDAEcwRQIgRyJ6xGulA3zYSVVMosASNMKnbb8IjG5+o4oijksduUUCIQDCvahD2qUKwLPAULPD3QXQbZrzOKFGNGk1l2TQcFr8jgB2ANFuqaVoB35mNaA/N6XdvAOlPEESFNSIGPXpMbMjy5UEAAABm/rKmUEAAAQDAEcwRQIhAOb+UQWwNUqqfw224vQFtxefrWG7C+XCdTReu5bXdNG8AiAoG9zqnPTMaQHLeTNXV3N6n448vgotB5Fyjyjp8hCkNDAKBggqhkjOPQQDAwNoADBlAjBn/p4Qerk6rz1yXgQ/FdwlDLgxTtYmvMr4m9KbVyE5p9HxUl0CSnMgiO1xd6l7CSQCMQCbU5YYAsIhnD9VTyEeem9SgZuI/HRTf1/qd6tcuMMZgZZpiOl7w4hhGmCGrzGEHbU=\n-----END CERTIFICATE-----","",""
"cert_commonName","developers.cardano.org/75.2.60.5","443","OK","developers.cardano.org","",""
"cert_commonName_wo_SNI","developers.cardano.org/75.2.60.5","443","INFO","*.netlify.app","",""
"cert_subjectAltName","developers.cardano.org/75.2.60.5","443","INFO","developer.cardano.org developers.cardano.org","",""
"cert_trust","developers.cardano.org/75.2.60.5","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","developers.cardano.org/75.2.60.5","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","developers.cardano.org/75.2.60.5","443","OK","passed.","",""
"cert_certificatePolicies_EV","developers.cardano.org/75.2.60.5","443","INFO","no","",""
"cert_expirationStatus","developers.cardano.org/75.2.60.5","443","OK","63 >= 30 days","",""
"cert_notBefore","developers.cardano.org/75.2.60.5","443","INFO","2026-01-26 13:53","",""
