"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert_keySize","data.cardano.org/52.211.238.28","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","data.cardano.org/52.211.238.28","443","INFO","Digital Signature","",""
"cert_extKeyUsage","data.cardano.org/52.211.238.28","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","data.cardano.org/52.211.238.28","443","INFO","0575A0401E85E1D5E0815431A60C11CE1243","",""
"cert_serialNumberLen","data.cardano.org/52.211.238.28","443","INFO","18","",""
"cert_fingerprintSHA1","data.cardano.org/52.211.238.28","443","INFO","5F70769EEF91095832593F10AB6C4120850396D5","",""
"cert_fingerprintSHA256","data.cardano.org/52.211.238.28","443","INFO","81564086F916E4F4C4C218C1F97668588EC7984D5762A79F65F6B5E1FE5808E0","",""
"cert","data.cardano.org/52.211.238.28","443","INFO","-----BEGIN CERTIFICATE-----\nMIIDvjCCA0SgAwIBAgISBXWgQB6F4dXggVQxpgwRzhJDMAoGCCqGSM49BAMDMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFNjAeFw0yNTA0MjgwNzIzNDNaFw0yNTA3MjcwNzIzNDJaMBoxGDAWBgNVBAMTD2hleS5jYXJkYW5vLm9yZzBZMBMGByqGSM49AgEGCCqGSM49AwEHA0IABCMhmzxLoN3qoWIsEjRX7EubtRaX+ae3aPwrnDnTU5gxoRP5nkxPB4jpO+UKW2hfmsntdm39AyUFwLwL/Am6VS2jggJQMIICTDAOBgNVHQ8BAf8EBAMCB4AwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFIEfNscEcZmKqf0Vi27lCA7gFR+8MB8GA1UdIwQYMBaAFJMnRpgDqVFojpjWxEJI2yO/WJTSMFUGCCsGAQUFBwEBBEkwRzAhBggrBgEFBQcwAYYVaHR0cDovL2U2Lm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZodHRwOi8vZTYuaS5sZW5jci5vcmcvMCwGA1UdEQQlMCOCEGRhdGEuY2FyZGFuby5vcmeCD2hleS5jYXJkYW5vLm9yZzATBgNVHSAEDDAKMAgGBmeBDAECATAtBgNVHR8EJjAkMCKgIKAehhxodHRwOi8vZTYuYy5sZW5jci5vcmcvNjguY3JsMIIBAgYKKwYBBAHWeQIEAgSB8wSB8ADuAHUApELFBklgYVSPD9TqnPt6LSZFTYepfy/fRVn2J086hFQAAAGWe31UggAABAMARjBEAiA76cdVy9GDBwBIUYE8CJxi4KD0wW2gcogN7ISgNxokbwIgfMTkgRnAvKUd7QGmjX/5OQW7Eo90cXTPpQWzaY9PW5kAdQDM+w9qhXEJZf6Vm1PO6bJ8IumFXA2XjbapflTA/kwNsAAAAZZ7fVSNAAAEAwBGMEQCIDKd8fM77J/tG85M6NmvvCW5xmSUf8AaZPxaxPcheMgYAiAgGekr4bYo2jyklBo0hrKg9oWHxZtUw462XGTnl3ygfjAKBggqhkjOPQQDAwNoADBlAjEAxRfnf6XOZexau1Gjixi+Q6Guk+ryvkIpb72DRJIc+JaZdJEqy/vJR3yfEAquzrQfAjBCmGYWzvvL0SH1Wa8CJ1iNwUC+haLY8oMl8YwOkpZkOGOMy6+YEunNpF9Jex2pkJE=\n-----END CERTIFICATE-----","",""
"cert_commonName","data.cardano.org/52.211.238.28","443","OK","hey.cardano.org","",""
"cert_commonName_wo_SNI","data.cardano.org/52.211.238.28","443","INFO","hey.cardano.org","",""
"cert_subjectAltName","data.cardano.org/52.211.238.28","443","INFO","data.cardano.org hey.cardano.org","",""
"cert_trust","data.cardano.org/52.211.238.28","443","OK","Ok via SAN (same w/o SNI)","",""
"cert_chain_of_trust","data.cardano.org/52.211.238.28","443","OK","passed.","",""
"cert_certificatePolicies_EV","data.cardano.org/52.211.238.28","443","INFO","no","",""
"cert_expirationStatus","data.cardano.org/52.211.238.28","443","OK","30 >= 30 days","",""
"cert_notBefore","data.cardano.org/52.211.238.28","443","INFO","2025-04-28 07:23","",""
"cert_notAfter","data.cardano.org/52.211.238.28","443","OK","2025-07-27 07:23","",""
"cert_extlifeSpan","data.cardano.org/52.211.238.28","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","data.cardano.org/52.211.238.28","443","INFO","not present","",""
"cert_crlDistributionPoints","data.cardano.org/52.211.238.28","443","INFO","http://e6.c.lencr.org/68.crl","",""
"cert_ocspURL","data.cardano.org/52.211.238.28","443","INFO","http://e6.o.lencr.org","",""
"OCSP_stapling","data.cardano.org/52.211.238.28","443","LOW","not offered","",""
"cert_mustStapleExtension","data.cardano.org/52.211.238.28","443","INFO","--","",""
"DNS_CAArecord","data.cardano.org/52.211.238.28","443","LOW","--","",""
"certificate_transparency","data.cardano.org/52.211.238.28","443","OK","yes (certificate extension)","",""
"certs_countServer","data.cardano.org/52.211.238.28","443","INFO","2","",""
"certs_list_ordering_problem","data.cardano.org/52.211.238.28","443","INFO","no","",""
"cert_caIssuers","data.cardano.org/52.211.238.28","443","INFO","E6 (Let's Encrypt from US)","",""
